dataset_id,dataset_name,group_name,target_key,n_features
1,Dataset001_F01_T1,F01,T1,88
2,Dataset002_F01_T2,F01,T2,88
3,Dataset003_F01_T3,F01,T3,88
4,Dataset004_F01_T4,F01,T4,88
5,Dataset005_F01_T5,F01,T5,88
6,Dataset006_F01_T6,F01,T6,88
7,Dataset007_F01_T7,F01,T7,88
8,Dataset008_F01_T8,F01,T8,88
9,Dataset009_F02_T1,F02,T1,48
10,Dataset010_F02_T2,F02,T2,48
11,Dataset011_F02_T3,F02,T3,48
12,Dataset012_F02_T4,F02,T4,48
13,Dataset013_F02_T5,F02,T5,48
14,Dataset014_F02_T6,F02,T6,48
15,Dataset015_F02_T7,F02,T7,48
16,Dataset016_F02_T8,F02,T8,48
17,Dataset017_F03_T1,F03,T1,30
18,Dataset018_F03_T2,F03,T2,30
19,Dataset019_F03_T3,F03,T3,30
20,Dataset020_F03_T4,F03,T4,30
21,Dataset021_F03_T5,F03,T5,30
22,Dataset022_F03_T6,F03,T6,30
23,Dataset023_F03_T7,F03,T7,30
24,Dataset024_F03_T8,F03,T8,30
25,Dataset025_F04_T1,F04,T1,33
26,Dataset026_F04_T2,F04,T2,33
27,Dataset027_F04_T3,F04,T3,33
28,Dataset028_F04_T4,F04,T4,33
29,Dataset029_F04_T5,F04,T5,33
30,Dataset030_F04_T6,F04,T6,33
31,Dataset031_F04_T7,F04,T7,33
32,Dataset032_F04_T8,F04,T8,33
33,Dataset033_F05_T1,F05,T1,72
34,Dataset034_F05_T2,F05,T2,72
35,Dataset035_F05_T3,F05,T3,72
36,Dataset036_F05_T4,F05,T4,72
37,Dataset037_F05_T5,F05,T5,72
38,Dataset038_F05_T6,F05,T6,72
39,Dataset039_F05_T7,F05,T7,72
40,Dataset040_F05_T8,F05,T8,72
41,Dataset041_F06_T1,F06,T1,91
42,Dataset042_F06_T2,F06,T2,91
43,Dataset043_F06_T3,F06,T3,91
44,Dataset044_F06_T4,F06,T4,91
45,Dataset045_F06_T5,F06,T5,91
46,Dataset046_F06_T6,F06,T6,91
47,Dataset047_F06_T7,F06,T7,91
48,Dataset048_F06_T8,F06,T8,91
49,Dataset049_F07_T1,F07,T1,108
50,Dataset050_F07_T2,F07,T2,108
51,Dataset051_F07_T3,F07,T3,108
52,Dataset052_F07_T4,F07,T4,108
53,Dataset053_F07_T5,F07,T5,108
54,Dataset054_F07_T6,F07,T6,108
55,Dataset055_F07_T7,F07,T7,108
56,Dataset056_F07_T8,F07,T8,108
57,Dataset057_F08_T1,F08,T1,52
58,Dataset058_F08_T2,F08,T2,52
59,Dataset059_F08_T3,F08,T3,52
60,Dataset060_F08_T4,F08,T4,52
61,Dataset061_F08_T5,F08,T5,52
62,Dataset062_F08_T6,F08,T6,52
63,Dataset063_F08_T7,F08,T7,52
64,Dataset064_F08_T8,F08,T8,52
65,Dataset065_F09_T1,F09,T1,74
66,Dataset066_F09_T2,F09,T2,74
67,Dataset067_F09_T3,F09,T3,74
68,Dataset068_F09_T4,F09,T4,74
69,Dataset069_F09_T5,F09,T5,74
70,Dataset070_F09_T6,F09,T6,74
71,Dataset071_F09_T7,F09,T7,74
72,Dataset072_F09_T8,F09,T8,74
73,Dataset073_F10_T1,F10,T1,186
74,Dataset074_F10_T2,F10,T2,186
75,Dataset075_F10_T3,F10,T3,186
76,Dataset076_F10_T4,F10,T4,186
77,Dataset077_F10_T5,F10,T5,186
78,Dataset078_F10_T6,F10,T6,186
79,Dataset079_F10_T7,F10,T7,186
80,Dataset080_F10_T8,F10,T8,186
81,Dataset081_F11_T1,F11,T1,463
82,Dataset082_F11_T2,F11,T2,463
83,Dataset083_F11_T3,F11,T3,463
84,Dataset084_F11_T4,F11,T4,463
85,Dataset085_F11_T5,F11,T5,463
86,Dataset086_F11_T6,F11,T6,463
87,Dataset087_F11_T7,F11,T7,463
88,Dataset088_F11_T8,F11,T8,463
89,Dataset089_F12_T1,F12,T1,77
90,Dataset090_F12_T2,F12,T2,77
91,Dataset091_F12_T3,F12,T3,77
92,Dataset092_F12_T4,F12,T4,77
93,Dataset093_F12_T5,F12,T5,77
94,Dataset094_F12_T6,F12,T6,77
95,Dataset095_F12_T7,F12,T7,77
96,Dataset096_F12_T8,F12,T8,77
97,Dataset097_F13_T1,F13,T1,43
98,Dataset098_F13_T2,F13,T2,43
99,Dataset099_F13_T3,F13,T3,43
100,Dataset100_F13_T4,F13,T4,43
101,Dataset101_F13_T5,F13,T5,43
102,Dataset102_F13_T6,F13,T6,43
103,Dataset103_F13_T7,F13,T7,43
104,Dataset104_F13_T8,F13,T8,43
105,Dataset105_F14_T1,F14,T1,82
106,Dataset106_F14_T2,F14,T2,82
107,Dataset107_F14_T3,F14,T3,82
108,Dataset108_F14_T4,F14,T4,82
109,Dataset109_F14_T5,F14,T5,82
110,Dataset110_F14_T6,F14,T6,82
111,Dataset111_F14_T7,F14,T7,82
112,Dataset112_F14_T8,F14,T8,82
113,Dataset113_F15_T1,F15,T1,50
114,Dataset114_F15_T2,F15,T2,50
115,Dataset115_F15_T3,F15,T3,50
116,Dataset116_F15_T4,F15,T4,50
117,Dataset117_F15_T5,F15,T5,50
118,Dataset118_F15_T6,F15,T6,50
119,Dataset119_F15_T7,F15,T7,50
120,Dataset120_F15_T8,F15,T8,50
121,Dataset121_F16_T1,F16,T1,252
122,Dataset122_F16_T2,F16,T2,252
123,Dataset123_F16_T3,F16,T3,252
124,Dataset124_F16_T4,F16,T4,252
125,Dataset125_F16_T5,F16,T5,252
126,Dataset126_F16_T6,F16,T6,252
127,Dataset127_F16_T7,F16,T7,252
128,Dataset128_F16_T8,F16,T8,252
129,Dataset129_F17_T1,F17,T1,72
130,Dataset130_F17_T2,F17,T2,72
131,Dataset131_F17_T3,F17,T3,72
132,Dataset132_F17_T4,F17,T4,72
133,Dataset133_F17_T5,F17,T5,72
134,Dataset134_F17_T6,F17,T6,72
135,Dataset135_F17_T7,F17,T7,72
136,Dataset136_F17_T8,F17,T8,72
137,Dataset137_F18_T1,F18,T1,56
138,Dataset138_F18_T2,F18,T2,56
139,Dataset139_F18_T3,F18,T3,56
140,Dataset140_F18_T4,F18,T4,56
141,Dataset141_F18_T5,F18,T5,56
142,Dataset142_F18_T6,F18,T6,56
143,Dataset143_F18_T7,F18,T7,56
144,Dataset144_F18_T8,F18,T8,56
145,Dataset145_F19_T1,F19,T1,109
146,Dataset146_F19_T2,F19,T2,109
147,Dataset147_F19_T3,F19,T3,109
148,Dataset148_F19_T4,F19,T4,109
149,Dataset149_F19_T5,F19,T5,109
150,Dataset150_F19_T6,F19,T6,109
151,Dataset151_F19_T7,F19,T7,109
152,Dataset152_F19_T8,F19,T8,109
153,Dataset153_F20_T1,F20,T1,122
154,Dataset154_F20_T2,F20,T2,122
155,Dataset155_F20_T3,F20,T3,122
156,Dataset156_F20_T4,F20,T4,122
157,Dataset157_F20_T5,F20,T5,122
158,Dataset158_F20_T6,F20,T6,122
159,Dataset159_F20_T7,F20,T7,122
160,Dataset160_F20_T8,F20,T8,122
161,Dataset161_F21_T1,F21,T1,153
162,Dataset162_F21_T2,F21,T2,153
163,Dataset163_F21_T3,F21,T3,153
164,Dataset164_F21_T4,F21,T4,153
165,Dataset165_F21_T5,F21,T5,153
166,Dataset166_F21_T6,F21,T6,153
167,Dataset167_F21_T7,F21,T7,153
168,Dataset168_F21_T8,F21,T8,153
169,Dataset169_F22_T1,F22,T1,22
170,Dataset170_F22_T2,F22,T2,22
171,Dataset171_F22_T3,F22,T3,22
172,Dataset172_F22_T4,F22,T4,22
173,Dataset173_F22_T5,F22,T5,22
174,Dataset174_F22_T6,F22,T6,22
175,Dataset175_F22_T7,F22,T7,22
176,Dataset176_F22_T8,F22,T8,22
177,Dataset177_CUM01_T1,CUM01,T1,88
178,Dataset178_CUM01_T2,CUM01,T2,88
179,Dataset179_CUM01_T3,CUM01,T3,88
180,Dataset180_CUM01_T4,CUM01,T4,88
181,Dataset181_CUM01_T5,CUM01,T5,88
182,Dataset182_CUM01_T6,CUM01,T6,88
183,Dataset183_CUM01_T7,CUM01,T7,88
184,Dataset184_CUM01_T8,CUM01,T8,88
185,Dataset185_CUM02_T1,CUM02,T1,136
186,Dataset186_CUM02_T2,CUM02,T2,136
187,Dataset187_CUM02_T3,CUM02,T3,136
188,Dataset188_CUM02_T4,CUM02,T4,136
189,Dataset189_CUM02_T5,CUM02,T5,136
190,Dataset190_CUM02_T6,CUM02,T6,136
191,Dataset191_CUM02_T7,CUM02,T7,136
192,Dataset192_CUM02_T8,CUM02,T8,136
193,Dataset193_CUM03_T1,CUM03,T1,166
194,Dataset194_CUM03_T2,CUM03,T2,166
195,Dataset195_CUM03_T3,CUM03,T3,166
196,Dataset196_CUM03_T4,CUM03,T4,166
197,Dataset197_CUM03_T5,CUM03,T5,166
198,Dataset198_CUM03_T6,CUM03,T6,166
199,Dataset199_CUM03_T7,CUM03,T7,166
200,Dataset200_CUM03_T8,CUM03,T8,166
201,Dataset201_CUM04_T1,CUM04,T1,199
202,Dataset202_CUM04_T2,CUM04,T2,199
203,Dataset203_CUM04_T3,CUM04,T3,199
204,Dataset204_CUM04_T4,CUM04,T4,199
205,Dataset205_CUM04_T5,CUM04,T5,199
206,Dataset206_CUM04_T6,CUM04,T6,199
207,Dataset207_CUM04_T7,CUM04,T7,199
208,Dataset208_CUM04_T8,CUM04,T8,199
209,Dataset209_CUM05_T1,CUM05,T1,271
210,Dataset210_CUM05_T2,CUM05,T2,271
211,Dataset211_CUM05_T3,CUM05,T3,271
212,Dataset212_CUM05_T4,CUM05,T4,271
213,Dataset213_CUM05_T5,CUM05,T5,271
214,Dataset214_CUM05_T6,CUM05,T6,271
215,Dataset215_CUM05_T7,CUM05,T7,271
216,Dataset216_CUM05_T8,CUM05,T8,271
217,Dataset217_CUM06_T1,CUM06,T1,362
218,Dataset218_CUM06_T2,CUM06,T2,362
219,Dataset219_CUM06_T3,CUM06,T3,362
220,Dataset220_CUM06_T4,CUM06,T4,362
221,Dataset221_CUM06_T5,CUM06,T5,362
222,Dataset222_CUM06_T6,CUM06,T6,362
223,Dataset223_CUM06_T7,CUM06,T7,362
224,Dataset224_CUM06_T8,CUM06,T8,362
225,Dataset225_CUM07_T1,CUM07,T1,470
226,Dataset226_CUM07_T2,CUM07,T2,470
227,Dataset227_CUM07_T3,CUM07,T3,470
228,Dataset228_CUM07_T4,CUM07,T4,470
229,Dataset229_CUM07_T5,CUM07,T5,470
230,Dataset230_CUM07_T6,CUM07,T6,470
231,Dataset231_CUM07_T7,CUM07,T7,470
232,Dataset232_CUM07_T8,CUM07,T8,470
233,Dataset233_CUM08_T1,CUM08,T1,522
234,Dataset234_CUM08_T2,CUM08,T2,522
235,Dataset235_CUM08_T3,CUM08,T3,522
236,Dataset236_CUM08_T4,CUM08,T4,522
237,Dataset237_CUM08_T5,CUM08,T5,522
238,Dataset238_CUM08_T6,CUM08,T6,522
239,Dataset239_CUM08_T7,CUM08,T7,522
240,Dataset240_CUM08_T8,CUM08,T8,522
241,Dataset241_CUM09_T1,CUM09,T1,596
242,Dataset242_CUM09_T2,CUM09,T2,596
243,Dataset243_CUM09_T3,CUM09,T3,596
244,Dataset244_CUM09_T4,CUM09,T4,596
245,Dataset245_CUM09_T5,CUM09,T5,596
246,Dataset246_CUM09_T6,CUM09,T6,596
247,Dataset247_CUM09_T7,CUM09,T7,596
248,Dataset248_CUM09_T8,CUM09,T8,596
249,Dataset249_CUM10_T1,CUM10,T1,782
250,Dataset250_CUM10_T2,CUM10,T2,782
251,Dataset251_CUM10_T3,CUM10,T3,782
252,Dataset252_CUM10_T4,CUM10,T4,782
253,Dataset253_CUM10_T5,CUM10,T5,782
254,Dataset254_CUM10_T6,CUM10,T6,782
255,Dataset255_CUM10_T7,CUM10,T7,782
256,Dataset256_CUM10_T8,CUM10,T8,782
257,Dataset257_CUM11_T1,CUM11,T1,1245
258,Dataset258_CUM11_T2,CUM11,T2,1245
259,Dataset259_CUM11_T3,CUM11,T3,1245
260,Dataset260_CUM11_T4,CUM11,T4,1245
261,Dataset261_CUM11_T5,CUM11,T5,1245
262,Dataset262_CUM11_T6,CUM11,T6,1245
263,Dataset263_CUM11_T7,CUM11,T7,1245
264,Dataset264_CUM11_T8,CUM11,T8,1245
265,Dataset265_CUM12_T1,CUM12,T1,1322
266,Dataset266_CUM12_T2,CUM12,T2,1322
267,Dataset267_CUM12_T3,CUM12,T3,1322
268,Dataset268_CUM12_T4,CUM12,T4,1322
269,Dataset269_CUM12_T5,CUM12,T5,1322
270,Dataset270_CUM12_T6,CUM12,T6,1322
271,Dataset271_CUM12_T7,CUM12,T7,1322
272,Dataset272_CUM12_T8,CUM12,T8,1322
273,Dataset273_CUM13_T1,CUM13,T1,1365
274,Dataset274_CUM13_T2,CUM13,T2,1365
275,Dataset275_CUM13_T3,CUM13,T3,1365
276,Dataset276_CUM13_T4,CUM13,T4,1365
277,Dataset277_CUM13_T5,CUM13,T5,1365
278,Dataset278_CUM13_T6,CUM13,T6,1365
279,Dataset279_CUM13_T7,CUM13,T7,1365
280,Dataset280_CUM13_T8,CUM13,T8,1365
281,Dataset281_CUM14_T1,CUM14,T1,1447
282,Dataset282_CUM14_T2,CUM14,T2,1447
283,Dataset283_CUM14_T3,CUM14,T3,1447
284,Dataset284_CUM14_T4,CUM14,T4,1447
285,Dataset285_CUM14_T5,CUM14,T5,1447
286,Dataset286_CUM14_T6,CUM14,T6,1447
287,Dataset287_CUM14_T7,CUM14,T7,1447
288,Dataset288_CUM14_T8,CUM14,T8,1447
289,Dataset289_CUM15_T1,CUM15,T1,1497
290,Dataset290_CUM15_T2,CUM15,T2,1497
291,Dataset291_CUM15_T3,CUM15,T3,1497
292,Dataset292_CUM15_T4,CUM15,T4,1497
293,Dataset293_CUM15_T5,CUM15,T5,1497
294,Dataset294_CUM15_T6,CUM15,T6,1497
295,Dataset295_CUM15_T7,CUM15,T7,1497
296,Dataset296_CUM15_T8,CUM15,T8,1497
297,Dataset297_CUM16_T1,CUM16,T1,1749
298,Dataset298_CUM16_T2,CUM16,T2,1749
299,Dataset299_CUM16_T3,CUM16,T3,1749
300,Dataset300_CUM16_T4,CUM16,T4,1749
301,Dataset301_CUM16_T5,CUM16,T5,1749
302,Dataset302_CUM16_T6,CUM16,T6,1749
303,Dataset303_CUM16_T7,CUM16,T7,1749
304,Dataset304_CUM16_T8,CUM16,T8,1749
305,Dataset305_CUM17_T1,CUM17,T1,1821
306,Dataset306_CUM17_T2,CUM17,T2,1821
307,Dataset307_CUM17_T3,CUM17,T3,1821
308,Dataset308_CUM17_T4,CUM17,T4,1821
309,Dataset309_CUM17_T5,CUM17,T5,1821
310,Dataset310_CUM17_T6,CUM17,T6,1821
311,Dataset311_CUM17_T7,CUM17,T7,1821
312,Dataset312_CUM17_T8,CUM17,T8,1821
313,Dataset313_CUM18_T1,CUM18,T1,1877
314,Dataset314_CUM18_T2,CUM18,T2,1877
315,Dataset315_CUM18_T3,CUM18,T3,1877
316,Dataset316_CUM18_T4,CUM18,T4,1877
317,Dataset317_CUM18_T5,CUM18,T5,1877
318,Dataset318_CUM18_T6,CUM18,T6,1877
319,Dataset319_CUM18_T7,CUM18,T7,1877
320,Dataset320_CUM18_T8,CUM18,T8,1877
321,Dataset321_CUM19_T1,CUM19,T1,1986
322,Dataset322_CUM19_T2,CUM19,T2,1986
323,Dataset323_CUM19_T3,CUM19,T3,1986
324,Dataset324_CUM19_T4,CUM19,T4,1986
325,Dataset325_CUM19_T5,CUM19,T5,1986
326,Dataset326_CUM19_T6,CUM19,T6,1986
327,Dataset327_CUM19_T7,CUM19,T7,1986
328,Dataset328_CUM19_T8,CUM19,T8,1986
329,Dataset329_CUM20_T1,CUM20,T1,2108
330,Dataset330_CUM20_T2,CUM20,T2,2108
331,Dataset331_CUM20_T3,CUM20,T3,2108
332,Dataset332_CUM20_T4,CUM20,T4,2108
333,Dataset333_CUM20_T5,CUM20,T5,2108
334,Dataset334_CUM20_T6,CUM20,T6,2108
335,Dataset335_CUM20_T7,CUM20,T7,2108
336,Dataset336_CUM20_T8,CUM20,T8,2108
337,Dataset337_CUM21_T1,CUM21,T1,2261
338,Dataset338_CUM21_T2,CUM21,T2,2261
339,Dataset339_CUM21_T3,CUM21,T3,2261
340,Dataset340_CUM21_T4,CUM21,T4,2261
341,Dataset341_CUM21_T5,CUM21,T5,2261
342,Dataset342_CUM21_T6,CUM21,T6,2261
343,Dataset343_CUM21_T7,CUM21,T7,2261
344,Dataset344_CUM21_T8,CUM21,T8,2261
345,Dataset345_CUM22_T1,CUM22,T1,2283
346,Dataset346_CUM22_T2,CUM22,T2,2283
347,Dataset347_CUM22_T3,CUM22,T3,2283
348,Dataset348_CUM22_T4,CUM22,T4,2283
349,Dataset349_CUM22_T5,CUM22,T5,2283
350,Dataset350_CUM22_T6,CUM22,T6,2283
351,Dataset351_CUM22_T7,CUM22,T7,2283
352,Dataset352_CUM22_T8,CUM22,T8,2283
353,Dataset353_GRP_Annotation_T1,GRP_Annotation,T1,392
354,Dataset354_GRP_Annotation_T2,GRP_Annotation,T2,392
355,Dataset355_GRP_Annotation_T3,GRP_Annotation,T3,392
356,Dataset356_GRP_Annotation_T4,GRP_Annotation,T4,392
357,Dataset357_GRP_Annotation_T5,GRP_Annotation,T5,392
358,Dataset358_GRP_Annotation_T6,GRP_Annotation,T6,392
359,Dataset359_GRP_Annotation_T7,GRP_Annotation,T7,392
360,Dataset360_GRP_Annotation_T8,GRP_Annotation,T8,392
361,Dataset361_GRP_Constraint_T1,GRP_Constraint,T1,183
362,Dataset362_GRP_Constraint_T2,GRP_Constraint,T2,183
363,Dataset363_GRP_Constraint_T3,GRP_Constraint,T3,183
364,Dataset364_GRP_Constraint_T4,GRP_Constraint,T4,183
365,Dataset365_GRP_Constraint_T5,GRP_Constraint,T5,183
366,Dataset366_GRP_Constraint_T6,GRP_Constraint,T6,183
367,Dataset367_GRP_Constraint_T7,GRP_Constraint,T7,183
368,Dataset368_GRP_Constraint_T8,GRP_Constraint,T8,183
369,Dataset369_GRP_Expression_T1,GRP_Expression,T1,360
370,Dataset370_GRP_Expression_T2,GRP_Expression,T2,360
371,Dataset371_GRP_Expression_T3,GRP_Expression,T3,360
372,Dataset372_GRP_Expression_T4,GRP_Expression,T4,360
373,Dataset373_GRP_Expression_T5,GRP_Expression,T5,360
374,Dataset374_GRP_Expression_T6,GRP_Expression,T6,360
375,Dataset375_GRP_Expression_T7,GRP_Expression,T7,360
376,Dataset376_GRP_Expression_T8,GRP_Expression,T8,360
