gene_symbol,gene_symbol_official,gene_name,gene_description,gene_type,aliases,other_names,ensembl_gene_id,ensembl_transcript_ids,ensembl_protein_ids,uniprot_swissprot,uniprot_trembl,uniprot_entry_name,entrez_gene_id,refseq_mrna,refseq_protein,refseq_genomic,hgnc_id,omim_id,pharmgkb_id,string_id,pdb_ids,ec_number,interpro_domains,pfam_domains,prosite_domains,chromosome,start_position,end_position,strand,protein_length,subcellular_location,taxonomy_id,homologene_id,wikipedia_url,pathways
ADRB2,ADRB2,adrenoceptor beta 2,"This gene encodes beta-2-adrenergic receptor which is a member of the G protein-coupled receptor superfamily. This receptor is directly associated with one of its ultimate effectors, the class C L-type calcium channel Ca(V)1.2. This receptor-channel complex also contains a G protein, an adenylyl cyclase, cAMP-dependent kinase, and the counterbalancing phosphatase, PP2A. The assembly of the signaling complex provides a mechanism that ensures specific and rapid signaling by this G protein-coupled receptor. This receptor is also a transcription regulator of the alpha-synuclein gene, and together, both genes are believed to be associated with risk of Parkinson's Disease. This gene is intronless. Different polymorphic forms, point mutations, and/or downregulation of this gene are associated with nocturnal asthma, obesity, type 2 diabetes and cardiovascular disease. [provided by RefSeq, Oct 2019].",protein-coding,ADRB2R|ADRBR|ARB2|B2AR|BAR|BETA2AR,"adrenergic, beta-2-, receptor, surface|adrenoceptor beta 2 surface|beta-2 adrenergic receptor|beta-2 adrenoceptor|beta-2 adrenoreceptor",ENSG00000169252,ENST00000305988,ENSP00000305372,P07550,X5DQM5,ADRB2_HUMAN,154,NM_000024.6,NP_000015.2,NC_000005.10|NC_060929.1|NG_016421.2,286,109690,PA39,9606.ENSP00000305372,1GQ4|2R4R|2R4S|2RH1|3D4S|3KJ6|3NY8|3NY9|3NYA|3P0G|3PDS|3SN6|4GBR|4LDE|4LDL|4LDO|4QKX|5D5A|5D5B|5D6L,,IPR000276|IPR000332|IPR002233|IPR017452,PF00001,PS50262,5,148826611.0,148828623.0,1.0,413,Cell membrane|Early endosome|Golgi apparatus,9606,30948.0,Beta-2 adrenergic receptor,biocarta:barrestinpathway|biocarta:barrestinsrcpathway|biocarta:barrmapkpathway|biocarta:cftrpathway|biocarta:chrebppathway|kegg:hsa04020|kegg:hsa04022|kegg:hsa04024|kegg:hsa04080|kegg:hsa04261|pid:arf6_pathway|pid:arf6_traffickingpathway|reactome:R-HSA-162582|reactome:R-HSA-199991|reactome:R-HSA-372790|reactome:R-HSA-373076|reactome:R-HSA-375280|wikipathways:WP117|wikipathways:WP2877|wikipathways:WP3888|wikipathways:WP455|wikipathways:WP4962
ADRB1,ADRB1,adrenoceptor beta 1,"The adrenergic receptors (subtypes alpha 1, alpha 2, beta 1, and beta 2) are a prototypic family of guanine nucleotide binding regulatory protein-coupled receptors that mediate the physiological effects of the hormone epinephrine and the neurotransmitter norepinephrine. Beta-1 adrenoceptors are predominately located in the heart. Specific polymorphisms in this gene have been shown to affect the resting heart rate and can be involved in heart failure. [provided by RefSeq, Sep 2019].",protein-coding,ADRB1R|B1AR|BETA1AR|FNSS2|RHR,"adrenergic, beta-1-, receptor|beta-1 adrenergic receptor|beta-1 adrenoceptor|beta-1 adrenoreceptor",ENSG00000043591,ENST00000369295,ENSP00000358301,P08588,,ADRB1_HUMAN,153,NM_000684.3,NP_000675.1,NC_000010.11|NC_060934.1|NG_012187.1,285,109630,PA38,9606.ENSP00000358301,2LSQ|7BTS|7BU6|7BU7|7BVQ,,IPR000276|IPR000507|IPR002233|IPR017452,PF00001,PS50262,10,114043866.0,114046904.0,1.0,477,Cell membrane|Early endosome,9606,20171.0,Beta-1 adrenergic receptor,kegg:hsa04020|kegg:hsa04022|kegg:hsa04024|kegg:hsa04080|kegg:hsa04261|reactome:R-HSA-162582|reactome:R-HSA-372790|reactome:R-HSA-373076|reactome:R-HSA-375280|reactome:R-HSA-388396|smpdb:SMP00296|smpdb:SMP00297|smpdb:SMP00298|smpdb:SMP00299|smpdb:SMP00300|wikipathways:WP2197|wikipathways:WP3298|wikipathways:WP455|wikipathways:WP536|wikipathways:WP58
ADRA1A,ADRA1D,adrenoceptor alpha 1D,"Alpha-1-adrenergic receptors (alpha-1-ARs) are members of the G protein-coupled receptor superfamily. They activate mitogenic responses and regulate growth and proliferation of many cells. There are 3 alpha-1-AR subtypes: alpha-1A, -1B and -1D, all of which signal through the Gq/11 family of G-proteins and different subtypes show different patterns of activation. This gene encodes alpha-1D-adrenergic receptor. Similar to alpha-1B-adrenergic receptor gene, this gene comprises 2 exons and a single intron that interrupts the coding region. [provided by RefSeq, Jul 2008].",protein-coding,ADRA1|ADRA1A|ADRA1R|ALPHA1|DAR|dJ779E11.2,"adrenergic, alpha -1D-, receptor|adrenergic, alpha-1A-, receptor|alpha-1A adrenergic receptor|alpha-1D adrenergic receptor|alpha-1D adrenoceptor",ENSG00000171873,ENST00000379453|ENST00000621688,ENSP00000368766,P25100,B0ZBE0,ADA1D_HUMAN,146,NM_000678.4,NP_000669.1,NC_000020.11|NC_060944.1,280,104219,PA24597,9606.ENSP00000368766,,,IPR000276|IPR000363|IPR002233|IPR017452,PF00001,PS50262,20,4220630.0,4249287.0,-1.0,572,Cell membrane,9606,551.0,Alpha-1D adrenergic receptor,kegg:hsa04020|kegg:hsa04022|kegg:hsa04080|kegg:hsa04261|kegg:hsa04270|reactome:R-HSA-162582|reactome:R-HSA-372790|reactome:R-HSA-373076|reactome:R-HSA-375280|reactome:R-HSA-388396|wikipathways:WP117|wikipathways:WP455|wikipathways:WP536|wikipathways:WP58
DRD2,DRD2,dopamine receptor D2,"This gene encodes the D2 subtype of the dopamine receptor. This G-protein coupled receptor inhibits adenylyl cyclase activity. A missense mutation in this gene causes myoclonus dystonia; other mutations have been associated with schizophrenia. Alternative splicing of this gene results in two transcript variants encoding different isoforms. A third variant has been described, but it has not been determined whether this form is normal or due to aberrant splicing. [provided by RefSeq, Jul 2008].",protein-coding,D2DR|D2R,D(2) dopamine receptor|dopamine D2 receptor|seven transmembrane helix receptor,ENSG00000149295,ENST00000346454|ENST00000362072|ENST00000535984|ENST00000538967|ENST00000539420|ENST00000540600|ENST00000542616|ENST00000542968|ENST00000543292|ENST00000544518,ENSP00000278597|ENSP00000354859|ENSP00000438215|ENSP00000438419|ENSP00000441068|ENSP00000441474|ENSP00000442172|ENSP00000577544|ENSP00000577545|ENSP00000577546,P14416,F8VUV1|Q6LDH7|A0A1Y8EK52,DRD2_HUMAN,1813,NM_000795.4|NM_001440368.1|NM_016574.4|XM_017017296.3|XM_047426511.1|XM_054367935.1|XM_054367936.1,NP_000786.1|NP_001427297.1|NP_057658.2|XP_016872785.1|XP_047282467.1|XP_054223910.1|XP_054223911.1,NC_000011.10|NC_060935.1|NG_008841.1,3023,126450,PA27478,9606.ENSP00000354859,5AER|6CM4|6LUQ|6VMS|7DFP|7JVR|8IRS|8TZQ|8U02,,IPR000276|IPR000929|IPR001922|IPR017452,PF00001,PS50262,11,113409605.0,113476402.0,-1.0,443,Cell membrane|Golgi apparatus membrane,9606,22561.0,Dopamine receptor D2,kegg:hsa04015|kegg:hsa04024|kegg:hsa04080|kegg:hsa04540|kegg:hsa04728|reactome:R-HSA-162582|reactome:R-HSA-372790|reactome:R-HSA-373076|reactome:R-HSA-375280|reactome:R-HSA-390651|wikipathways:WP1602|wikipathways:WP2636|wikipathways:WP4222|wikipathways:WP455|wikipathways:WP4657
DRD3,DRD3,dopamine receptor D3,"This gene encodes the D3 subtype of the five (D1-D5) dopamine receptors. The activity of the D3 subtype receptor is mediated by G proteins which inhibit adenylyl cyclase. This receptor is localized to the limbic areas of the brain, which are associated with cognitive, emotional, and endocrine functions. Genetic variation in this gene may be associated with susceptibility to hereditary essential tremor 1. Alternative splicing of this gene results in transcript variants encoding different isoforms, although some variants may be subject to nonsense-mediated decay (NMD). [provided by RefSeq, Jul 2008].",protein-coding,D3DR|ETM1|FET1,D(3) dopamine receptor|essential tremor 1,ENSG00000151577,ENST00000295881|ENST00000383673|ENST00000460779|ENST00000467632|ENST00000698213,ENSP00000295881|ENSP00000373169|ENSP00000419402|ENSP00000420662|ENSP00000513607,P35462,A8K8E4|E9PCM4|A1A4V4|X5D2G4|A0A8V8TLH3,DRD3_HUMAN,1814,NM_000796.6|NM_001282563.2|NM_001290809.1|NM_033658.1|NM_033659.1|NM_033660.1|NM_033663.6,NP_000787.2|NP_001269492.1|NP_001277738.1|NP_387512.3,NC_000003.12|NC_060927.1|NG_008842.3,3024,126451,PA27479,9606.ENSP00000373169,3PBL|7CMU|7CMV|8IRT|9F33|9F34,,IPR000276|IPR000929|IPR001620|IPR017452,PF00001,PS50262,3,114127580.0,114199407.0,-1.0,400,Cell membrane,9606,623.0,Dopamine receptor D3,kegg:hsa04080|kegg:hsa04728|reactome:R-HSA-162582|reactome:R-HSA-372790|reactome:R-HSA-373076|reactome:R-HSA-375280|reactome:R-HSA-388396|wikipathways:WP117|wikipathways:WP1602|wikipathways:WP455|wikipathways:WP58
HTR1A,HTR1A,5-hydroxytryptamine receptor 1A,"This gene encodes a G protein-coupled receptor for 5-hydroxytryptamine (serotonin), and belongs to the 5-hydroxytryptamine receptor subfamily. Serotonin has been implicated in a number of physiologic processes and pathologic conditions. Inactivation of this gene in mice results in behavior consistent with an increased anxiety and stress response. Mutation in the promoter of this gene has been associated with menstrual cycle-dependent periodic fevers. [provided by RefSeq, Jun 2012].",protein-coding,5-HT-1A|5-HT1A|5HT1a|ADRB2RL1|ADRBRL1|G-21|PFMCD,"5-HT1a receptor|5-hydroxytryptamine (serotonin) receptor 1A, G protein-coupled|5-hydroxytryptamine receptor 1A|guanine nucleotide-binding regulatory protein-coupled receptor",ENSG00000178394,ENST00000323865|ENST00000506598,ENSP00000316244|ENSP00000423433,P08908,A8K5W4|Q5ZGX3|D6RA34,5HT1A_HUMAN,3350,NM_000524.4,NP_000515.2,NC_000005.10|NC_060929.1|NG_032816.1,5286,109760,PA192,9606.ENSP00000316244,7E2X|7E2Y|7E2Z|8FY8|8FYE|8FYL|8FYT|8FYX|8JSP|8JT6|8PJK|8PKM|8W8B,,IPR000610|IPR000276|IPR002231|IPR017452,PF00001,PS50262,5,63957874.0,63962507.0,-1.0,422,"Cell membrane|Cell projection, dendrite",9606,20148.0,5-HT1A receptor,kegg:hsa04024|kegg:hsa04080|kegg:hsa04726|kegg:hsa04742|reactome:R-HSA-162582|reactome:R-HSA-372790|reactome:R-HSA-373076|reactome:R-HSA-375280|reactome:R-HSA-390666|smpdb:SMP00392|smpdb:SMP00393|smpdb:SMP00394|smpdb:SMP00395|smpdb:SMP00396|wikipathways:WP3944|wikipathways:WP3947|wikipathways:WP455|wikipathways:WP58|wikipathways:WP706
HTR1B,HTR1B,5-hydroxytryptamine receptor 1B,"The protein encoded by this intronless gene is a G-protein coupled receptor for serotonin (5-hydroxytryptamine). Ligand binding activates second messengers that inhibit the activity of adenylate cyclase and manage the release of serotonin, dopamine, and acetylcholine in the brain. The encoded protein may be involved in several neuropsychiatric disorders and therefore is often a target of antidepressant and other psychotherapeutic drugs. [provided by RefSeq, Nov 2015].",protein-coding,5-HT-1B|5-HT-1D-beta|5-HT1B|5-HT1DB|HTR1D2|HTR1DB|S12,"5-hydroxytryptamine (serotonin) receptor 1B, G protein-coupled|5-hydroxytryptamine receptor 1B|serotonin 1D beta receptor|serotonin receptor 1B",ENSG00000135312,ENST00000369947,ENSP00000358963,P28222,A8K215|X5D7I5,5HT1B_HUMAN,3351,NM_000863.3,NP_000854.1,NC_000006.12|NC_060930.1,5287,182131,PA29549,9606.ENSP00000358963,4IAQ|4IAR|5V54|6G79|7C61,,IPR000276|IPR002147|IPR002231|IPR017452,PF00001,PS50262,6,77460924.0,77463491.0,-1.0,390,Cell membrane,9606,669.0,5-HT1B receptor,kegg:hsa04024|kegg:hsa04080|kegg:hsa04726|kegg:hsa04742|reactome:R-HSA-162582|reactome:R-HSA-372790|reactome:R-HSA-373076|reactome:R-HSA-375280|reactome:R-HSA-388396|wikipathways:WP455|wikipathways:WP58
HTR2A,HTR2A,5-hydroxytryptamine receptor 2A,"This gene encodes one of the receptors for serotonin, a neurotransmitter with many roles. Mutations in this gene are associated with susceptibility to schizophrenia and obsessive-compulsive disorder, and are also associated with response to the antidepressant citalopram in patients with major depressive disorder (MDD). MDD patients who also have a mutation in intron 2 of this gene show a significantly reduced response to citalopram as this antidepressant downregulates expression of this gene. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2009].",protein-coding,5-HT2A|HTR2,"5-HT2 receptor|5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled|5-hydroxytryptamine receptor 2A|serotonin 5-HT-2A receptor",ENSG00000102468,ENST00000542664|ENST00000543956|ENST00000612998|ENST00000941626|ENST00000941627,ENSP00000437737|ENSP00000441861|ENSP00000482708|ENSP00000611685|ENSP00000611686,P28223,A0A087WZJ9|A0A7P0PKG8,5HT2A_HUMAN,3356,NM_000621.5|NM_001165947.5|NM_001378924.1,NP_000612.1|NP_001159419.2|NP_001365853.1,NC_000013.11|NC_060937.1|NG_013011.1,5293,182135,PA193,9606.ENSP00000437737,6A93|6A94|6WGT|6WH4|6WHA|7RAN|7VOD|7VOE|7WC4|7WC5|7WC6|7WC7|7WC8|7WC9|8JT8|8UWL|8V6U|8ZMG,,IPR000276|IPR000455|IPR002231|IPR017452,PF00001,PS50262,13,46831546.0,46897076.0,-1.0,471,"Cell membrane|Cell projection, dendrite|Cell projection, axon",9606,68073.0,5-HT2A receptor,kegg:hsa04020|kegg:hsa04080|kegg:hsa04540|kegg:hsa04726|kegg:hsa04750|wikipathways:WP117|wikipathways:WP3944|wikipathways:WP3947|wikipathways:WP455|wikipathways:WP58
HTR2C,HTR2C,5-hydroxytryptamine receptor 2C,"This gene encodes a seven-transmembrane G-protein-coupled receptor. The encoded protein responds to signaling through the neurotransmitter serotonin. The mRNA of this gene is subject to multiple RNA editing events, where adenosine residues encoded by the genome are converted to inosines. RNA editing is predicted to alter the structure of the second intracellular loop, thereby generating alternate protein forms with decreased ability to interact with G proteins. Abnormalities in RNA editing of this gene have been detected in victims of suicide that suffer from depression. In addition, naturally-occuring variation in the promoter and 5' non-coding and coding regions of this gene may show statistically-significant association with mental illness and behavioral disorders. Alternative splicing results in multiple different transcript variants. [provided by RefSeq, Jan 2015].",protein-coding,5-HT1C|5-HT2C|5-HTR2C|5HTR2C|HTR1C,"5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled|5-hydroxytryptamine receptor 1C|5-hydroxytryptamine receptor 2C|serotonin 5-HT-1C receptor|serotonin 5-HT-2C receptor",ENSG00000147246,ENST00000276198|ENST00000371950|ENST00000371951|ENST00000894573,ENSP00000276198|ENSP00000361018|ENSP00000361019|ENSP00000564632,P28335,K9J958,5HT2C_HUMAN,3358,NM_000868.4|NM_001256760.3|NM_001256761.3,NP_000859.2|NP_001243689.2|NP_001243690.2,NC_000023.11|NC_060947.1|NG_012082.3,5295,312861,PA194,9606.ENSP00000276198,6BQG|6BQH|8DPF|8DPG|8DPH|8DPI|8ZMF,,IPR000276|IPR000377|IPR002231|IPR017452,PF00001,PS50262,X,114584078.0,114910061.0,1.0,458,Cell membrane,9606,20242.0,5-HT2C receptor,biocarta:barrestinpathway|biocarta:barrestinsrcpathway|biocarta:barrmapkpathway|biocarta:chrebppathway|biocarta:cskpathway|kegg:hsa04020|kegg:hsa04080|kegg:hsa04540|kegg:hsa04726|kegg:hsa04750|reactome:R-HSA-162582|reactome:R-HSA-372790|reactome:R-HSA-373076|reactome:R-HSA-375280|reactome:R-HSA-388396|wikipathways:WP3944|wikipathways:WP3947|wikipathways:WP3998|wikipathways:WP455|wikipathways:WP58
CHRM1,CHRM1,cholinergic receptor muscarinic 1,"The muscarinic cholinergic receptors belong to a larger family of G protein-coupled receptors. The functional diversity of these receptors is defined by the binding of acetylcholine and includes cellular responses such as adenylate cyclase inhibition, phosphoinositide degeneration, and potassium channel mediation. Muscarinic receptors influence many effects of acetylcholine in the central and peripheral nervous system. The muscarinic cholinergic receptor 1 is involved in mediation of vagally-induced bronchoconstriction and in the acid secretion of the gastrointestinal tract. The gene encoding this receptor is localized to 11q13. [provided by RefSeq, Jul 2008].",protein-coding,HM1|M1|M1R,"acetylcholine receptor, muscarinic 1|muscarinic acetylcholine receptor M1",ENSG00000168539,ENST00000306960|ENST00000536524|ENST00000543973|ENST00000856787|ENST00000856788,ENSP00000306490|ENSP00000441188|ENSP00000444482|ENSP00000526846|ENSP00000526847,P11229,F5GZF8|Q53XZ3,ACM1_HUMAN,1128,NM_000738.3|XM_011544742.3|XM_054367566.1,NP_000729.2|XP_011543044.1|XP_054223541.1,NC_000011.10|NC_060935.1,1950,118510,PA26484,9606.ENSP00000306490,5CXV|6OIJ|6WJC|6ZFZ|6ZG4|6ZG9,,IPR000276|IPR000995|IPR002228|IPR017452,PF00001,PS50262,11,62908679.0,62921877.0,-1.0,460,Cell membrane|Postsynaptic cell membrane,9606,20189.0,Muscarinic acetylcholine receptor M1,biocarta:agrpathway|biocarta:barrestinpathway|biocarta:barrestinsrcpathway|biocarta:barrmapkpathway|biocarta:chrebppathway|kegg:hsa04020|kegg:hsa04024|kegg:hsa04080|kegg:hsa04151|kegg:hsa04725|reactome:R-HSA-162582|reactome:R-HSA-372790|reactome:R-HSA-373076|reactome:R-HSA-375280|reactome:R-HSA-388396|wikipathways:WP2597|wikipathways:WP3932|wikipathways:WP4172|wikipathways:WP455|wikipathways:WP4698
